,China,Anhui Sheng,Beijing Shi,Chongqing Shi,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Zhuangzu Zizhiqu,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hubei Sheng,Hunan Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Nei Mongol Zizhiqu,Ningxia Huizu Zizhiqu,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Shi,Shanxi Sheng,Sichuan Sheng,Tianjin Shi,Xinjiang Uygur Zizhiqu,Xizang Zizhiqu,Yunnan Sheng,Zhejiang Sheng
1965,6.64,15.48,10.17,15.54,18.11,5.32,21.28,20.29,15.14,24.49,9.49,-0.05,14.45,15.24,16.75,14.89,17.61,3.39,7.34,3.37,7.84,-2.66,10.49,13.23,15.83,8.49,7.8,12.5,5.8,-3.01,15.22,16.03
1966,6.79,15.84,9.83,15.91,18.62,5.41,21.72,20.65,15.5,24.86,9.2,0.31,14.63,15.56,17.08,15.22,18.03,3.72,7.34,3.12,7.98,-2.1,10.67,13.17,16.34,8.37,8.42,12.21,5.37,-2.47,15.74,16.55
1967,6.33,15.37,9.3,15.2,18.02,4.46,20.84,19.73,14.8,23.85,8.71,1.53,13.97,14.9,16.38,14.79,17.5,4.45,7.53,3.29,6.98,-3.01,9.75,12.79,15.89,7.62,7.68,11.89,4.68,-3.09,15.09,16.1
1968,6.58,15.61,9.6,15.36,18,5,21.02,19.99,14.95,24.1,9.04,1.66,14.42,15.29,16.73,14.92,17.72,4.36,7.56,3.31,7.43,-2.58,10.14,13.08,15.92,8.05,7.75,12.17,5.24,-3.04,15.16,16.14
1969,6.33,14.81,8.77,15.54,17.83,5.39,20.77,19.97,15.22,23.95,8.14,-0.69,13.63,14.8,16.35,14.11,17.22,2.75,6.36,2.34,7.71,-1.75,10.11,11.98,15.34,7.43,8.4,11.21,4.76,-2.24,15.67,15.73
1970,6.45,15.13,9.26,15.26,17.85,4.72,20.72,19.77,14.84,23.88,8.61,0.82,13.9,14.84,16.25,14.52,17.23,3.89,7.14,2.96,7.21,-2.66,9.91,12.54,15.62,7.61,7.83,11.7,5.25,-2.43,15.28,15.88
1971,6.76,15.51,9.58,15.48,18.27,5.46,20.9,19.75,14.9,23.83,8.93,1.33,14.1,15.09,16.53,14.91,17.77,4.17,7.47,3.47,7.8,-2.16,10.25,12.86,16.05,7.93,7.93,12.07,5.81,-2.64,14.99,16.31
1972,6.7,15.17,9.72,15.59,18.24,5.48,21.1,20.11,15.15,24.17,9,0.6,14.04,15.07,16.65,14.52,17.69,3.88,7.38,3.33,7.77,-1.73,10.3,12.69,15.67,8.05,8.29,12.09,5.09,-2.26,15.44,16.01
1973,7.06,15.74,10.17,16.04,18.49,5.55,21.46,20.51,15.56,24.63,9.45,1.25,14.56,15.55,17.02,15.15,18.02,4.57,7.99,3.81,8.13,-2.1,10.81,13.26,16.14,8.51,8.5,12.62,5.85,-2.34,15.76,16.4
1974,6.59,15.42,9.62,15.41,18.34,5.11,21.03,19.89,14.89,23.97,8.95,0.61,14.19,15.17,16.65,14.77,17.82,3.73,7.24,3.06,7.61,-2.11,10.27,12.79,15.85,8.04,8.07,12.08,5.03,-2.21,15.12,16.17
1975,7.04,15.85,10.71,15.69,18.42,5.16,21.13,20.13,15.22,24.19,9.95,2.49,14.65,15.43,16.79,15.31,17.92,5.37,8.55,4.37,7.8,-2.29,10.6,13.6,16.29,8.78,8.23,13.05,5.31,-2.44,15.54,16.45
1976,6.38,15.27,9.37,15.05,17.92,4.6,20.65,19.6,14.6,23.77,8.7,0.65,13.93,14.89,16.27,14.61,17.45,3.62,7.04,3.01,7.04,-2.57,9.81,12.57,15.66,7.71,7.68,11.77,5.04,-2.49,15.07,15.92
1977,6.76,15.72,10.11,15.65,18.68,4.99,21.46,20.19,15.03,24.44,9.46,0.58,14.64,15.41,16.79,15.19,17.99,3.97,7.7,3.31,7.67,-2.59,10.63,13.36,16.19,8.55,7.87,12.63,5.77,-2.56,15.14,16.5
1978,7.01,16.24,10.28,16.04,18.54,5.47,21.25,20.28,15.41,24.29,9.62,1.16,14.96,15.89,17.19,15.65,18.25,4.38,7.98,3.76,7.99,-2.24,10.83,13.65,16.54,8.66,8.14,12.82,5.97,-2.76,15.45,16.7
1979,7.04,16.03,10.15,15.95,18.63,5.38,21.34,20.43,15.5,24.46,9.47,1.12,14.65,15.7,17.14,15.41,18.26,4.58,8.09,3.72,7.97,-2.08,10.68,13.34,16.43,8.45,8.35,12.59,5.8,-2.34,15.86,16.72
1980,6.88,15.23,9.76,15.49,18.53,5.41,21.38,20.51,15.31,24.57,9.07,0.68,14.1,15.03,16.7,14.57,17.79,3.76,7.15,3.37,7.79,-2.01,10.33,12.69,15.67,8.16,8.13,12.11,6.12,-2.36,15.79,16.2
1981,6.95,15.54,10.06,15.69,18.46,5.49,21.31,20.42,15.39,24.49,9.41,1.16,14.43,15.31,16.83,14.93,17.87,4.32,7.71,3.57,7.9,-1.77,10.5,13.23,15.92,8.4,8.37,12.66,5.68,-2.44,15.75,16.32
1982,7.13,15.84,10.85,15.52,18.46,5.44,21.2,20.29,15.19,24.33,10.09,2.15,14.66,15.34,16.78,15.29,17.94,5.38,8.68,4.37,8.01,-2.19,10.67,13.71,16.22,8.9,8,13.26,5.97,-2.6,15.42,16.54
1983,6.9,15.98,10.81,15.69,18.72,4.81,21.2,20.27,15.35,24.22,10.05,1.49,14.65,15.53,17.06,15.38,18.23,4.77,8.51,3.97,7.55,-2.96,10.41,13.77,16.35,8.73,7.81,13.3,5.89,-2.95,15.38,16.75
1984,6.49,15.26,9.68,15.15,17.96,4.75,20.55,19.68,14.84,23.64,8.96,0.85,13.89,14.82,16.22,14.67,17.39,3.96,7.54,3.05,7.09,-2.13,9.79,12.77,15.75,7.76,8.08,12.14,4.72,-2.09,15.45,16.08
1985,6.72,15.57,9.48,15.52,18.3,5.25,20.9,20.04,15.13,23.97,8.87,1.05,14.16,15.21,16.71,14.89,17.84,4.12,7.39,3.2,7.64,-2.23,10.23,12.7,16.11,7.98,7.91,12.01,5.41,-2.15,15.34,16.48
1986,6.84,15.75,9.94,15.66,18.39,5.16,21.26,20.37,15.29,24.41,9.3,1.44,14.52,15.47,16.98,15.05,18.04,4.24,7.62,3.64,7.67,-2.38,10.44,13.15,16.11,8.32,8.04,12.5,5.57,-2.64,15.46,16.45
1987,7.17,16,10.39,16.09,18.85,6,21.87,21.01,15.87,25.08,9.73,0.52,14.81,15.67,17.3,15.35,18.38,4.04,7.78,3.61,8.56,-1.52,11.04,13.43,16.42,8.9,8.63,12.82,5.87,-2.18,16,16.78
1988,7.22,15.9,10.43,15.66,18.4,5.62,21.07,20.19,15.31,24.18,9.72,1.85,14.62,15.45,16.81,15.3,17.96,4.84,8.28,4.02,7.91,-1.39,10.49,13.49,16.3,8.51,8.49,12.93,5.85,-1.81,15.84,16.58
1989,7.21,15.74,10.9,15.45,18.4,5.48,21.3,20.27,15.1,24.48,10.15,2.52,14.51,15.19,16.7,15.3,17.86,5.52,8.86,4.53,8.07,-1.99,10.57,13.74,16.3,8.76,8.16,13.31,5.86,-2.29,15.48,16.47
1990,7.48,16.22,10.63,15.96,18.75,5.83,21.62,20.63,15.53,24.82,9.96,2.62,14.92,15.74,17.24,15.76,18.33,5.33,8.57,4.52,8.43,-1.71,10.97,13.83,16.84,8.91,8.27,13.06,6.49,-2.17,15.64,17.01
1991,7.07,15.48,10.33,15.44,18.58,5.55,21.62,20.53,15.2,24.87,9.52,1.59,14.28,15.15,16.74,14.92,17.92,4.63,8.03,3.95,8.2,-1.93,10.63,13.17,15.96,8.49,8.11,12.71,6.03,-2.44,15.77,16.39
1992,6.81,15.56,10.36,15.37,17.94,4.98,20.97,20.05,14.97,24.2,9.59,1.78,14.37,15.24,16.69,15,17.66,4.78,8.18,3.98,7.56,-2.61,10.31,13.34,15.97,8.4,7.61,12.82,5.67,-2.8,15.23,16.09
1993,6.87,15.31,10.24,15.18,18.26,5.12,21.17,20.11,14.92,24.37,9.46,1.85,14.07,14.88,16.38,14.76,17.56,4.68,8.05,3.94,7.51,-2.21,10.1,13.18,15.68,8.17,7.85,12.64,5.56,-2.28,15.54,16.14
1994,7.47,16.5,11.21,15.94,18.74,5.79,21.6,20.51,15.46,24.74,10.45,2.06,15.22,15.85,17.03,15.99,18.33,5.31,8.9,4.58,8.43,-1.75,11.14,14.22,16.98,9.28,8.5,13.62,6.16,-2.09,15.99,17.03
1995,7.23,15.94,10.81,15.87,18.11,5.08,21.02,20.1,15.23,24.19,10.04,2.58,14.95,15.74,16.87,15.31,17.88,5.38,8.6,4.56,7.79,-2.34,10.91,13.72,16.21,8.94,8.19,13.13,5.95,-2.14,15.78,16.27
